date,^FTSE
2016-10-02,6983.52
2016-10-03,7074.34
2016-10-04,7033.25
2016-10-05,6999.96
2016-10-06,7044.39
2016-10-09,7097.5
2016-10-10,7070.88
2016-10-11,7024.01
2016-10-12,6977.74
2016-10-13,7013.55
2016-10-16,6947.55
2016-10-17,7000.06
2016-10-18,7021.92
2016-10-19,7026.9
2016-10-20,7020.47
2016-10-23,6986.4
2016-10-24,7017.64
2016-10-25,6958.09
2016-10-26,6986.57
2016-10-27,6996.26
2016-10-31,6954.22
2016-11-01,6917.14
2016-11-02,6845.42
2016-11-03,6790.51
2016-11-04,6693.26
2016-11-07,6806.9
2016-11-08,6843.13
2016-11-09,6911.84
2016-11-10,6827.98
2016-11-11,6730.43
2016-11-14,6753.18
2016-11-15,6792.74
2016-11-16,6749.72
2016-11-17,6794.71
2016-11-18,6775.77
2016-11-21,6777.96
2016-11-22,6819.72
2016-11-23,6817.71
2016-11-24,6829.2
2016-11-25,6840.75
2016-11-28,6799.47
2016-11-29,6772.0
2016-11-30,6783.79
2016-12-01,6752.93
2016-12-02,6730.72
2016-12-05,6746.83
2016-12-06,6779.84
2016-12-07,6902.23
2016-12-08,6931.55
2016-12-09,6954.21
2016-12-12,6890.42
2016-12-13,6968.57
2016-12-14,6949.19
2016-12-15,6999.01
2016-12-16,7011.64
2016-12-19,7017.16
2016-12-20,7043.96
2016-12-21,7041.42
2016-12-22,7063.68
2016-12-23,7068.17
2016-12-28,7106.08
2016-12-29,7120.26
2016-12-30,7142.83
2017-01-03,7177.89
2017-01-04,7189.74
2017-01-05,7195.31
2017-01-06,7210.05
2017-01-09,7237.77
2017-01-10,7275.47
2017-01-11,7290.49
2017-01-12,7292.37
2017-01-13,7337.81
2017-01-16,7327.13
2017-01-17,7220.38
2017-01-18,7247.61
2017-01-19,7208.44
2017-01-20,7198.44
2017-01-23,7151.18
2017-01-24,7150.34
2017-01-25,7164.43
2017-01-26,7161.49
2017-01-27,7184.49
2017-01-30,7118.48
2017-01-31,7099.15
2017-02-01,7107.65
2017-02-02,7140.75
2017-02-03,7188.3
2017-02-06,7172.15
2017-02-07,7186.22
2017-02-08,7188.82
2017-02-09,7229.5
2017-02-10,7258.75
2017-02-13,7278.92
2017-02-14,7268.56
2017-02-15,7302.41
2017-02-16,7277.92
2017-02-17,7299.96
2017-02-20,7299.86
2017-02-21,7274.83
2017-02-22,7302.25
2017-02-23,7271.37
2017-02-24,7243.7
2017-02-27,7253.0
2017-02-28,7263.44
2017-03-01,7382.9
2017-03-02,7382.35
2017-03-03,7374.26
2017-03-06,7350.12
2017-03-07,7338.99
2017-03-08,7334.61
2017-03-09,7314.96
2017-03-10,7343.08
2017-03-13,7367.08
2017-03-14,7357.85
2017-03-15,7368.64
2017-03-16,7415.95
2017-03-17,7424.96
2017-03-20,7429.81
2017-03-21,7378.34
2017-03-22,7324.72
2017-03-23,7340.71
2017-03-24,7336.82
2017-03-26,7293.5
2017-03-27,7343.42
2017-03-28,7373.72
2017-03-29,7369.52
2017-03-30,7322.92
2017-04-02,7282.69
2017-04-03,7321.82
2017-04-04,7331.68
2017-04-05,7303.2
2017-04-06,7349.37
2017-04-09,7348.94
2017-04-10,7365.5
2017-04-11,7348.99
2017-04-12,7327.59
2017-04-17,7147.5
2017-04-18,7114.36
2017-04-19,7118.54
2017-04-20,7114.55
2017-04-23,7264.68
2017-04-24,7275.64
2017-04-25,7288.72
2017-04-26,7237.17
2017-04-27,7203.94
2017-05-01,7250.05
2017-05-02,7234.53
2017-05-03,7248.1
2017-05-04,7297.43
2017-05-07,7300.86
2017-05-08,7342.21
2017-05-09,7385.24
2017-05-10,7386.63
2017-05-11,7435.39
2017-05-14,7454.37
2017-05-15,7522.03
2017-05-16,7503.47
2017-05-17,7436.42
2017-05-18,7470.71
2017-05-21,7496.34
2017-05-22,7485.29
2017-05-23,7514.9
2017-05-24,7517.71
2017-05-25,7547.63
2017-05-29,7526.51
2017-05-30,7519.95
2017-05-31,7543.77
2017-06-01,7547.63
2017-06-04,7525.76
2017-06-05,7524.95
2017-06-06,7478.62
2017-06-07,7449.98
2017-06-08,7527.33
2017-06-11,7511.87
